,dependency_anomalies_40_vowels_2,dependency_anomalies_40_vowels_1,dependency_anomalies_40_vowels_3,dependency_anomalies_47_yeast_2,dependency_anomalies_47_yeast_3,dependency_anomalies_47_yeast_1,dependency_anomalies_20_letter_2,dependency_anomalies_20_letter_1,dependency_anomalies_20_letter_3,dependency_anomalies_6_cardio_1,dependency_anomalies_6_cardio_3,dependency_anomalies_6_cardio_2,dependency_anomalies_12_fault_1,dependency_anomalies_12_fault_3,dependency_anomalies_12_fault_2,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_35_SpamBase_2,dependency_anomalies_31_satimage-2_2,dependency_anomalies_30_satellite_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_31_satimage-2_1,dependency_anomalies_33_skin_1,dependency_anomalies_32_shuttle_3,dependency_anomalies_32_shuttle_2,dependency_anomalies_31_satimage-2_3,dependency_anomalies_33_skin_3,dependency_anomalies_33_skin_2,dependency_anomalies_36_speech_3,dependency_anomalies_38_thyroid_2,dependency_anomalies_36_speech_1,dependency_anomalies_38_thyroid_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_36_speech_2,dependency_anomalies_44_Wilt_1,dependency_anomalies_41_Waveform_2,dependency_anomalies_41_Waveform_1,dependency_anomalies_41_Waveform_3,dependency_anomalies_38_thyroid_1,dependency_anomalies_30_satellite_3,dependency_anomalies_1_ALOI_3,dependency_anomalies_25_musk_3,dependency_anomalies_2_annthyroid_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_1_ALOI_2,dependency_anomalies_2_annthyroid_3,dependency_anomalies_8_celeba_1,dependency_anomalies_10_cover_1,dependency_anomalies_8_celeba_2,dependency_anomalies_10_cover_3,dependency_anomalies_10_cover_2,dependency_anomalies_11_donors_2,dependency_anomalies_5_campaign_1,dependency_anomalies_16_http_1,dependency_anomalies_30_satellite_2,dependency_anomalies_8_celeba_3,dependency_anomalies_19_landsat_2,dependency_anomalies_19_landsat_1,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_23_mammography_1,dependency_anomalies_22_magic.gamma_3,dependency_anomalies_23_mammography_2,dependency_anomalies_23_mammography_3,dependency_anomalies_25_musk_1,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_28_pendigits_3,dependency_anomalies_25_musk_2,dependency_anomalies_19_landsat_3,dependency_anomalies_28_pendigits_1
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,4.577852725982666,,3.821542263031006,,,,3.1003646850585938,,3.443903923034668,,,3.9854395389556885,,,,4.339427709579468,,,,,,,8.070548057556152,,6.772776126861572,6.671957015991211,,6.811630010604858,,,6.804586410522461,,6.657827377319336,,,,,6.764370679855347,,7.692610502243042,8.145846605300903,6.801396608352661,,,,6.489957332611084,,,,6.808526992797852,,,,,,8.250634908676147,,,,,,6.771876335144043,,6.72130012512207,,8.231623411178589,8.267065286636353,,6.732968091964722,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,1.5659279823303223,,2.3134889602661133,,,,2.2168474197387695,,1.9338629245758057,,,2.1467301845550537,,,,2.4288721084594727,,,,,,,4.782881736755371,,3.6609771251678467,3.741204261779785,,3.6475565433502197,,,4.559563159942627,,3.784198522567749,,,,,3.686004877090454,,3.7243123054504395,4.773838520050049,3.6314077377319336,,,,3.7347099781036377,,,,3.7342238426208496,,,,,,4.796280384063721,,,,,,3.7792539596557617,,3.7038094997406006,,4.787771463394165,4.8283092975616455,,3.685955047607422,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,6.314859390258789,,8.937102317810059,,,,8.744280815124512,,8.028929471969604,,,9.014604806900024,,,,9.996364116668701,,,,,,,15.05435824394226,,18.84394598007202,16.60074758529663,,15.057233572006226,,,17.35854983329773,,15.14969253540039,,,,,15.097978115081787,,15.378955125808716,18.837158918380737,15.064043045043945,,,,15.13231110572815,,,,18.832425117492676,,,,,,18.81062364578247,,,,,,15.169292211532593,,15.126459121704102,,15.046993255615234,15.309230327606201,,15.062084674835205,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,1.548647165298462,,2.331098794937134,,,,2.194105863571167,,1.9691989421844482,,,2.173482656478882,,,,3.1707563400268555,,,,,,,3.6400961875915527,,4.811038255691528,4.873663902282715,,3.6812872886657715,,,3.7048678398132324,,3.781285524368286,,,,,4.809602975845337,,3.722900629043579,4.781613826751709,4.492575168609619,,,,3.7260146141052246,,,,3.6731064319610596,,,,,,4.803873538970947,,,,,,3.7389912605285645,,3.775655746459961,,3.6715734004974365,3.740787982940674,,3.6770565509796143,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,1.5679924488067627,,2.312480926513672,,,,2.1795334815979004,,1.9715626239776611,,,2.1937761306762695,,,,3.1602296829223633,,,,,,,3.6699037551879883,,4.7982707023620605,4.134121894836426,,3.7179229259490967,,,3.755678176879883,,3.772915840148926,,,,,4.866178750991821,,3.7321791648864746,4.798215866088867,3.6835124492645264,,,,3.7560577392578125,,,,3.703052043914795,,,,,,4.796912670135498,,,,,,3.7339928150177,,3.73614764213562,,3.669363498687744,3.7229061126708984,,3.7005653381347656,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,1.6218910217285156,,2.346165180206299,,,,2.222382068634033,,2.0284805297851562,,,2.209202766418457,,,,3.205798387527466,,,,,,,3.736314058303833,,4.866030931472778,3.8036980628967285,,3.829017400741577,,,4.932113885879517,,3.764173984527588,,,,,4.049267053604126,,3.828084945678711,4.8607213497161865,3.7482502460479736,,,,3.8369929790496826,,,,3.771782636642456,,,,,,4.860138893127441,,,,,,3.8140408992767334,,3.8110830783843994,,4.757005214691162,3.826547145843506,,4.1555750370025635,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,2.463624954223633,,2.793278217315674,,,,2.7050740718841553,,4.05247688293457,,,3.510915517807007,,,,3.9831671714782715,,,,,,,5.91958475112915,,7.163055419921875,5.933095455169678,,5.870619773864746,,,5.931105613708496,,6.034678220748901,,,,,5.917243957519531,,5.983800172805786,5.8813042640686035,5.874438762664795,,,,5.955783128738403,,,,7.5173492431640625,,,,,,5.989075183868408,,,,,,6.008366584777832,,5.982922077178955,,5.961361885070801,6.022900819778442,,7.863976001739502,
