,dependency_anomalies_16_http_2,dependency_anomalies_41_Waveform_3,dependency_anomalies_19_landsat_2,dependency_anomalies_43_WDBC_3,dependency_anomalies_33_skin_2,dependency_anomalies_14_glass_2,dependency_anomalies_4_breastw_3,dependency_anomalies_23_mammography_2,dependency_anomalies_16_http_3,dependency_anomalies_15_Hepatitis_2,dependency_anomalies_36_speech_3,dependency_anomalies_39_vertebral_3,dependency_anomalies_42_WBC_3,dependency_anomalies_15_Hepatitis_3,dependency_anomalies_32_shuttle_1,dependency_anomalies_44_Wilt_2,dependency_anomalies_41_Waveform_1,dependency_anomalies_34_smtp_1,dependency_anomalies_33_skin_1,dependency_anomalies_42_WBC_2,dependency_anomalies_10_cover_1,dependency_anomalies_1_ALOI_2,dependency_anomalies_23_mammography_3,dependency_anomalies_8_celeba_1,dependency_anomalies_28_pendigits_1,dependency_anomalies_12_fault_1,dependency_anomalies_46_WPBC_3,dependency_anomalies_43_WDBC_1,dependency_anomalies_19_landsat_1,dependency_anomalies_30_satellite_2,dependency_anomalies_36_speech_2,dependency_anomalies_39_vertebral_2,dependency_anomalies_8_celeba_2,dependency_anomalies_22_magic.gamma_1,dependency_anomalies_44_Wilt_3,dependency_anomalies_27_PageBlocks_3,dependency_anomalies_28_pendigits_3,dependency_anomalies_46_WPBC_2,dependency_anomalies_38_thyroid_1,dependency_anomalies_45_wine_3,dependency_anomalies_4_breastw_2,dependency_anomalies_38_thyroid_3,dependency_anomalies_29_Pima_3,dependency_anomalies_45_wine_2,dependency_anomalies_47_yeast_3,dependency_anomalies_18_Ionosphere_2,dependency_anomalies_7_Cardiotocography_3,dependency_anomalies_38_thyroid_2,dependency_anomalies_18_Ionosphere_1,dependency_anomalies_2_annthyroid_3,dependency_anomalies_25_musk_3,dependency_anomalies_33_skin_3,dependency_anomalies_5_campaign_1,dependency_anomalies_46_WPBC_1,dependency_anomalies_7_Cardiotocography_2,dependency_anomalies_14_glass_1,dependency_anomalies_6_cardio_2,dependency_anomalies_6_cardio_3,dependency_anomalies_25_musk_1,dependency_anomalies_32_shuttle_2,dependency_anomalies_47_yeast_2,dependency_anomalies_21_Lymphography_2,dependency_anomalies_13_fraud_3,dependency_anomalies_31_satimage-2_1,dependency_anomalies_29_Pima_2,dependency_anomalies_1_ALOI_3,dependency_anomalies_39_vertebral_1,dependency_anomalies_37_Stamps_3,dependency_anomalies_21_Lymphography_1,dependency_anomalies_2_annthyroid_2,dependency_anomalies_36_speech_1,dependency_anomalies_23_mammography_1,dependency_anomalies_4_breastw_1,dependency_anomalies_41_Waveform_2,dependency_anomalies_7_Cardiotocography_1,dependency_anomalies_43_WDBC_2,dependency_anomalies_19_landsat_3,dependency_anomalies_30_satellite_1,dependency_anomalies_37_Stamps_1,dependency_anomalies_29_Pima_1,dependency_anomalies_10_cover_3,dependency_anomalies_13_fraud_2,dependency_anomalies_11_donors_2,dependency_anomalies_40_vowels_3,dependency_anomalies_47_yeast_1,dependency_anomalies_18_Ionosphere_3,dependency_anomalies_30_satellite_3,dependency_anomalies_22_magic.gamma_3,dependency_anomalies_8_celeba_3,dependency_anomalies_31_satimage-2_3,dependency_anomalies_2_annthyroid_1,dependency_anomalies_44_Wilt_1,dependency_anomalies_20_letter_2,dependency_anomalies_14_glass_3,dependency_anomalies_35_SpamBase_2,dependency_anomalies_34_smtp_2,dependency_anomalies_20_letter_3,dependency_anomalies_45_wine_1,dependency_anomalies_25_musk_2,dependency_anomalies_6_cardio_1,dependency_anomalies_13_fraud_1,dependency_anomalies_40_vowels_2,dependency_anomalies_37_Stamps_2,dependency_anomalies_12_fault_2,dependency_anomalies_20_letter_1,dependency_anomalies_10_cover_2,dependency_anomalies_32_shuttle_3,dependency_anomalies_16_http_1,dependency_anomalies_15_Hepatitis_1,dependency_anomalies_34_smtp_3,dependency_anomalies_42_WBC_1,dependency_anomalies_22_magic.gamma_2,dependency_anomalies_40_vowels_1,dependency_anomalies_21_Lymphography_3,dependency_anomalies_12_fault_3,dependency_anomalies_31_satimage-2_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,3.1011950969696045,,,,,0.4193863868713379,,,,3.1457056999206543,,,,,,,,,,,,2.935748815536499,,,,,,,,,,,,2.9428999423980713,2.970073938369751,3.0549092292785645,,,,,2.9932596683502197,0.5954699516296387,,1.20406174659729,,2.0558152198791504,,,2.9764771461486816,2.792808771133423,2.98006010055542,,,,,,1.757887840270996,,,,,,,,3.0327389240264893,,,,,,,,,,,4.068773984909058,,,,,,,1.1829442977905273,,,3.2177820205688477,3.888136148452759,4.149309396743774,3.377711057662964,,,,,,,2.2884914875030518,,,,,,,,,,3.0592384338378906,,,,,,,,1.9216768741607666,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,2.601461887359619,,,,,0.34072327613830566,,,,2.6343090534210205,,,,,,,,,,,,2.458139181137085,,,,,,,,,,,,2.521294355392456,2.4813380241394043,2.535308837890625,,,,,2.4471118450164795,0.5117180347442627,,0.9937646389007568,,1.702660322189331,,,2.4856669902801514,2.412008285522461,2.488010883331299,,,,,,1.9988994598388672,,,,,,,,2.5868301391601562,,,,,,,,,,,2.548650026321411,,,,,,,1.011061429977417,,,2.4676692485809326,2.526146411895752,2.50705885887146,2.561572790145874,,,,,,,1.1963515281677246,,,,,,,,,,2.4862477779388428,,,,,,,,1.5714106559753418,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,7.354622840881348,,,,,0.9710149765014648,,,,7.475306034088135,,,,,,,,,,,,7.19779634475708,,,,,,,,,,,,7.275564908981323,7.184474468231201,7.292220830917358,,,,,7.197341203689575,1.4443302154541016,,2.8873989582061768,,4.96445894241333,,,7.185306549072266,6.968299150466919,6.644739151000977,,,,,,6.074477195739746,,,,,,,,7.309274435043335,,,,,,,,,,,7.317046642303467,,,,,,,2.8915514945983887,,,9.23299789428711,7.232276678085327,7.394426584243774,7.308722257614136,,,,,,,3.464597225189209,,,,,,,,,,7.250133991241455,,,,,,,,4.619595766067505,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,2.488635778427124,,,,,0.3432185649871826,,,,2.5826592445373535,,,,,,,,,,,,2.481595277786255,,,,,,,,,,,,2.5107359886169434,2.4816200733184814,2.5251095294952393,,,,,2.4802603721618652,0.5143241882324219,,0.9977946281433105,,1.6663599014282227,,,2.4615612030029297,2.299546480178833,2.485521078109741,,,,,,1.955517292022705,,,,,,,,2.597520351409912,,,,,,,,,,,2.5022072792053223,,,,,,,1.012669563293457,,,2.5594234466552734,2.47396183013916,2.51932954788208,2.5211665630340576,,,,,,,1.1832897663116455,,,,,,,,,,2.516172409057617,,,,,,,,1.6262366771697998,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,2.479004383087158,,,,,0.3324296474456787,,,,2.555417060852051,,,,,,,,,,,,2.44075608253479,,,,,,,,,,,,2.4778459072113037,2.4310672283172607,2.458373785018921,,,,,2.4369561672210693,0.49613022804260254,,0.9844825267791748,,1.7026076316833496,,,2.439971446990967,2.306104898452759,2.5506746768951416,,,,,,1.9537878036499023,,,,,,,,2.526642322540283,,,,,,,,,,,2.505910873413086,,,,,,,0.9903354644775391,,,2.5654001235961914,2.459683895111084,2.5128164291381836,2.471053123474121,,,,,,,1.1718957424163818,,,,,,,,,,2.454602003097534,,,,,,,,1.5407660007476807,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,2.6258223056793213,,,,,0.3514683246612549,,,,2.6075925827026367,,,,,,,,,,,,2.5205576419830322,,,,,,,,,,,,2.5491580963134766,2.525167942047119,2.5758073329925537,,,,,2.5473716259002686,0.5215606689453125,,1.0258417129516602,,1.7788488864898682,,,2.5308310985565186,2.35068941116333,2.582524299621582,,,,,,1.4178276062011719,,,,,,,,2.6530721187591553,,,,,,,,,,,2.5910568237304688,,,,,,,1.0385034084320068,,,2.591742992401123,2.551762342453003,2.5801570415496826,2.637362003326416,,,,,,,1.1916131973266602,,,,,,,,,,2.5836474895477295,,,,,,,,1.6085798740386963,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,39.14846134185791,,,,,18.261569499969482,,,,54.25346636772156,56.59297561645508,,,,,,,,,,,116.0669195652008,,,,12.404587268829346,,,,,,,,35.91486740112305,44.489654302597046,34.91644024848938,,,,,41.80024003982544,18.654219150543213,,39.50393462181091,,46.56435751914978,,,53.584861516952515,176.86384320259094,6.5528645515441895,,,,,,9.87776494026184,,,,,,,,141.1266348361969,,2.387089967727661,,,,,,,,,18.576437950134277,,,,,,,6.1494505405426025,,4.2773919105529785,18.6885724067688,8.930763483047485,20.380118370056152,18.971259832382202,,,,,,,12.635723114013672,,,,,,,,,,8.218998193740845,,,,,,,,41.23250436782837,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,3.05116605758667,,,,,0.6892592906951904,,,,2.784327983856201,0.007560014724731445,,,,,,,,,,,3.383297920227051,,,,0.0072214603424072266,,,,,,,,3.752492904663086,3.0502421855926514,3.1109824180603027,,,,,3.3967926502227783,0.6845822334289551,,1.3573768138885498,,2.064318895339966,,,3.7398414611816406,2.4353530406951904,3.733086347579956,,,,,,1.699922800064087,,,,,,,,2.405318260192871,,0.3597114086151123,,,,,,,,,2.7009987831115723,,,,,,,1.3690769672393799,,0.008507966995239258,2.7408158779144287,3.059828281402588,2.75115966796875,2.7618255615234375,,,,,,,1.3887715339660645,,,,,,,,,,3.400235414505005,,,,,,,,1.8290472030639648,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,2.763460397720337,,,,,0.5138859748840332,,,,2.655921697616577,,,,,,,,,,,,3.269395589828491,,,,,,,,,,,,3.283402681350708,3.1194276809692383,2.7712671756744385,,,,,3.453209400177002,0.5119686126708984,,1.3783395290374756,,1.924234390258789,,,3.4271607398986816,2.0984575748443604,3.451078414916992,,,,,,1.717052936553955,,,,,,,,2.4377620220184326,,,,,,,,,,,2.611367702484131,,,,,,,1.1911561489105225,,,2.4355430603027344,3.1131389141082764,2.4167850017547607,2.588667869567871,,,,,,,1.2399461269378662,,,,,,,,,,3.1359550952911377,,,,,,,,1.6231977939605713,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,3.7092084884643555,,,,,0.497422456741333,,,,3.7618589401245117,,,,,,,,,,,,3.670861005783081,,,,,,,,,,,,3.6887645721435547,3.6924993991851807,3.758394479751587,,,,,3.677239179611206,0.7491157054901123,,1.46287202835083,,2.4832992553710938,,,3.6552734375,3.429081439971924,3.6420626640319824,,,,,,2.1416940689086914,,,,,,,,3.7308433055877686,,,,,,,,,,,3.7088124752044678,,,,,,,1.455883264541626,,,3.7168784141540527,3.638378143310547,3.6510262489318848,3.645263433456421,,,,,,,1.7637863159179688,,,,,,,,,,3.649416446685791,,,,,,,,2.301326036453247,
