,40_vowels_local_3,40_vowels_local_2,40_vowels_local_1,47_yeast_local_1,47_yeast_local_3,47_yeast_local_2,20_letter_local_2,20_letter_local_3,20_letter_local_1,12_fault_local_3,12_fault_local_1,12_fault_local_2,7_Cardiotocography_local_1,7_Cardiotocography_local_2,7_Cardiotocography_local_3,26_optdigits_local_3,33_skin_local_1,32_shuttle_local_2,31_satimage-2_local_1,32_shuttle_local_3,2_annthyroid_local_1,32_shuttle_local_1,31_satimage-2_local_2,30_satellite_local_3,31_satimage-2_local_3,30_satellite_local_2,30_satellite_local_1,28_pendigits_local_3,33_skin_local_3,35_SpamBase_local_3,38_thyroid_local_1,36_speech_local_1,35_SpamBase_local_2,35_SpamBase_local_1,28_pendigits_local_2,38_thyroid_local_2,38_thyroid_local_3,41_Waveform_local_1,36_speech_local_2,44_Wilt_local_1,36_speech_local_3,44_Wilt_local_2,44_Wilt_local_3,41_Waveform_local_2,33_skin_local_2,28_pendigits_local_1,26_optdigits_local_1,27_PageBlocks_local_2,11_donors_local_1,19_landsat_local_2,19_landsat_local_1,8_celeba_local_3,3_backdoor_local_1,8_celeba_local_1,8_celeba_local_2,5_campaign_local_3,5_campaign_local_2,5_campaign_local_1,1_ALOI_local_3,1_ALOI_local_1,1_ALOI_local_2,2_annthyroid_local_3,2_annthyroid_local_2,11_donors_local_2,27_PageBlocks_local_3,19_landsat_local_3,23_mammography_local_1,27_PageBlocks_local_1,26_optdigits_local_2,41_Waveform_local_3,22_magic.gamma_local_1,25_musk_local_2,25_musk_local_1,25_musk_local_3,24_mnist_local_3,24_mnist_local_1,24_mnist_local_2,3_backdoor_local_3,23_mammography_local_2,23_mammography_local_3,22_magic.gamma_local_3,11_donors_local_3,22_magic.gamma_local_2,3_backdoor_local_2
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",4.641863107681274,,,,2.539236068725586,,,3.2312510013580322,,4.167128324508667,,,,,4.708651065826416,6.953875303268433,,,,6.696416139602661,,,,6.931669235229492,6.694277048110962,,,6.718826532363892,6.912214517593384,6.8120033740997314,,,,,,,6.552894592285156,,,,7.053969383239746,,6.827766418457031,,,,,,,,,6.959885835647583,,,,7.096890449523926,,,7.121222257614136,,,6.941008806228638,,,6.812893390655518,7.189008712768555,,,,6.703362703323364,,,,7.429617881774902,6.861642837524414,,,6.906628608703613,,6.717484474182129,6.871213912963867,6.791901350021362,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.5943262577056885,,,,1.5117063522338867,,,1.6846592426300049,,2.210716724395752,,,,,2.4583141803741455,3.7319462299346924,,,,3.720574140548706,,,,3.7405712604522705,3.7039127349853516,,,3.6939632892608643,3.7822062969207764,3.709078550338745,,,,,,,3.71539306640625,,,,3.8721981048583984,,3.756760597229004,,,,,,,,,3.6973986625671387,,,,3.742521047592163,,,3.757784843444824,,,3.7644765377044678,,,3.774545431137085,3.781834840774536,,,,3.773961067199707,,,,3.852693796157837,3.7690601348876953,,,3.9109292030334473,,3.8240885734558105,3.7642405033111572,3.7797744274139404,,
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",6.1409080028533936,,,,6.1183531284332275,,,7.012080907821655,,9.02766752243042,,,,,10.01773452758789,15.190379619598389,,,,15.086486577987671,,,,15.11575984954834,15.132388830184937,,,15.09897518157959,15.148956537246704,15.188581228256226,,,,,,,15.1558837890625,,,,,,15.13754153251648,,,,,,,,,15.111466884613037,,,,15.135045766830444,,,15.190996885299683,,,15.142202854156494,,,15.08456802368164,15.151719808578491,,,,15.06595778465271,,,,16.205018520355225,15.520406484603882,,,15.770166397094727,,15.158554792404175,15.120469808578491,15.10003399848938,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.502475023269653,,,,1.491142749786377,,,1.699350118637085,,2.201451301574707,,,,,2.4398651123046875,3.743905782699585,,,,3.708287239074707,,,,3.7509655952453613,3.6218597888946533,,,3.7226834297180176,3.9027340412139893,3.726203441619873,,,,,,,3.7308642864227295,,,,3.852235794067383,,3.765918016433716,,,,,,,,,3.727619171142578,,,,3.7501885890960693,,,3.6893539428710938,,,3.8405308723449707,,,3.8454601764678955,3.8144922256469727,,,,3.698193073272705,,,,3.7371511459350586,3.8935134410858154,,,3.7216620445251465,,3.8224270343780518,3.789782762527466,3.794855833053589,,
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.5708637237548828,,,,1.5177624225616455,,,1.6973636150360107,,2.141118049621582,,,,,2.446331739425659,3.708606004714966,,,,3.6942882537841797,,,,3.705026626586914,3.5822784900665283,,,3.698499917984009,3.8650832176208496,3.7297732830047607,,,,,,,3.7323172092437744,,,,3.909609317779541,,3.748812437057495,,,,,,,,,3.6925268173217773,,,,3.726862668991089,,,3.697310447692871,,,3.936946392059326,,,3.8014938831329346,3.8124680519104004,,,,3.774327278137207,,,,3.7355799674987793,3.870318651199341,,,3.7342374324798584,,3.7765753269195557,3.820664882659912,3.81044340133667,,
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.6231646537780762,,,,1.5311529636383057,,,1.7283306121826172,,2.2427566051483154,,,,,2.4921865463256836,3.851909637451172,,,,3.807760715484619,,,,3.8120250701904297,3.7962727546691895,,,3.7847607135772705,3.838944911956787,3.8194382190704346,,,,,,,3.828281879425049,,,,3.990175247192383,,3.8071978092193604,,,,,,,,,3.774228572845459,,,,3.8165435791015625,,,3.761117458343506,,,3.9274046421051025,,,3.897677183151245,3.8456203937530518,,,,3.8362443447113037,,,,3.8316826820373535,3.94883394241333,,,3.797877550125122,,3.8936641216278076,3.84413743019104,3.8369600772857666,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'RMSprop', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",2.5378003120422363,,,,2.43440842628479,,,2.7575249671936035,,3.600187301635742,,,,,3.908493757247925,5.99566912651062,,,,5.959822416305542,,,,5.9365928173065186,5.9361584186553955,,,5.9426655769348145,6.053049802780151,6.014150381088257,,,,,,,6.003022193908691,,,,6.057789325714111,,5.972302436828613,,,,,,,,,5.9606170654296875,,,,5.9230077266693115,,,5.950695514678955,,,6.1991047859191895,,,6.117656469345093,5.940679550170898,,,,5.9102935791015625,,,,6.148777961730957,6.033020973205566,,,6.028470516204834,,6.181351900100708,6.1740453243255615,6.09178352355957,,
